instance,set,rule,relax,status,solved,nodes,time,uplo,loup,timeout
3pk.bch,coconutbenchmark-library2,largestfirst,xtaylor,unbounded,0,62,0.01691999999999999,-inf,5.270870301420892e+23,10
3pk.bch,coconutbenchmark-library2,lsmear,xtaylor,unbounded,0,62,0.017764999999999975,-inf,5.270870301420892e+23,10
3pk.bch,coconutbenchmark-library2,lsmear-box,xtaylor,unbounded,0,62,0.017757999999999996,-inf,5.270870301420892e+23,10
3pk.bch,coconutbenchmark-library2,roundrobin,xtaylor,unbounded,0,62,0.01630200000000004,-inf,5.270870301420892e+23,10
3pk.bch,coconutbenchmark-library2,smearmax,xtaylor,unbounded,0,62,0.018127000000000004,-inf,5.270870301420892e+23,10
3pk.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,unbounded,0,62,0.018011,-inf,5.270870301420892e+23,10
3pk.bch,coconutbenchmark-library2,smearsum,xtaylor,unbounded,0,62,0.018054000000000014,-inf,5.270870301420892e+23,10
3pk.bch,coconutbenchmark-library2,smearsumrel,xtaylor,unbounded,0,62,0.01805899999999999,-inf,5.270870301420892e+23,10
abel.bch,unsolved,largestfirst,both,timeout,0,102408,600.0008350000003,-6305418.382878161,425105.83263491443,600.0
abel.bch,unsolved,lsmear,both,timeout,0,65958,600.0175780000002,-1074435.5041293753,122648.05985773428,600.0
abel.bch,unsolved,lsmear-box,both,timeout,0,47848,600.0003990000002,-1071993.7188248984,115488.52212478095,600.0
abel.bch,unsolved,roundrobin,both,timeout,0,48684,600.0218600000002,-1236442.9372373424,95381.95920573447,600.0
abel.bch,unsolved,smearmax,both,timeout,0,81246,600.0097500000003,-779391.0143612078,35464.30903949168,600.0
abel.bch,unsolved,smearmaxrel,both,timeout,0,79934,600.0098960000003,-3727163.5303807626,57341.054993339974,600.0
abel.bch,unsolved,smearsum,both,timeout,0,82456,600.0114520000003,-779733.9589038884,157881.2361518703,600.0
abel.bch,unsolved,smearsumrel,both,timeout,0,51792,600.0491880000002,-1508786.4024221245,59768.29785710474,600.0
abel.bch,unsolved,largestfirst,xtaylor,timeout,0,145554,600.0054650000003,-41994313.242011756,347013.1146653597,600.0
abel.bch,unsolved,lsmear,xtaylor,timeout,0,92618,600.0054650000002,-1075106.2062818292,232160.73958775087,600.0
abel.bch,unsolved,lsmear-box,xtaylor,timeout,0,88266,600.0058190000002,-1173520.1750918722,246176.81463631341,600.0
abel.bch,unsolved,roundrobin,xtaylor,timeout,0,60676,600.0096980000003,-8240362.906568278,105505.51265308462,600.0
