instance,set,rule,relax,status,nodes,time,loup,uplo,timeout
abelter-1.bch,unsolved,largestfirst,both,timeout,117100,600.0032010000002,279.53858982069096,9.087677628146056e-28,600.0
abelter-1.bch,unsolved,roundrobin,both,timeout,42158,600.0069300000001,275.0728317927882,56.16127055718375,600.0
ackley_5.bch,easy,lsmear,both,complete,126,0.06561300000000003,-8.284590364837641e-07,-8.284590578000461e-07,600.0
ackley_5.bch,easy,lsmear-box,both,complete,126,0.06556100000000001,-8.284590364837641e-07,-8.284590578000461e-07,600.0
ackley_5.bch,easy,smearsumrel,both,complete,126,0.06928600000000001,-8.284590364837641e-07,-8.284590578000461e-07,600.0
ackley_5.bch,easy,smearsum,both,complete,126,0.06476400000000002,-8.284590364837641e-07,-8.284590578000461e-07,600.0
ackley_5.bch,easy,smearmax,both,complete,126,0.07220400000000002,-8.284590364837641e-07,-8.284590578000461e-07,600.0
ackley_5.bch,easy,smearmaxrel,both,complete,126,0.06489000000000003,-8.284590364837641e-07,-8.284590578000461e-07,600.0
ackley_5.bch,easy,largestfirst,both,complete,366,0.16300300000000006,-7.734256293190356e-07,-8.284590578000461e-07,600.0
ackley_5.bch,easy,roundrobin,both,complete,12,0.006238000000000003,-8.284590364837641e-07,-8.284590578000461e-07,600.0
aircraftb.bch,coconutbenchmark-library2,lsmear,both,complete,2888,2.078926000000001,5.3332261686616916e-08,0,600.0
aircraftb.bch,coconutbenchmark-library2,lsmear-box,both,complete,2888,2.0768860000000005,5.3332261686616916e-08,0,600.0
aircraftb.bch,coconutbenchmark-library2,smearsumrel,both,complete,2888,1.9665600000000005,5.3332261686616916e-08,0,600.0
aircraftb.bch,coconutbenchmark-library2,smearsum,both,complete,2888,1.9543440000000003,5.3332261686616916e-08,0,600.0
aircraftb.bch,coconutbenchmark-library2,smearmax,both,complete,2888,1.9373960000000006,5.3332261686616916e-08,0,600.0
aircraftb.bch,coconutbenchmark-library2,smearmaxrel,both,complete,2888,1.9458230000000005,5.3332261686616916e-08,0,600.0
aircraftb.bch,coconutbenchmark-library2,largestfirst,both,complete,35118,19.292911000000004,4.1899752140815977e-08,0,600.0
aircraftb.bch,coconutbenchmark-library2,roundrobin,both,complete,1024,0.6400890000000002,2.637262287301443e-08,0,600.0
alkyl.bch,medium,lsmear,both,complete,62,0.2816680000000001,-1.7647197026586614,-1.7664861888475087,600.0
alkyl.bch,medium,lsmear-box,both,complete,30,0.15350300000000003,-1.7635237536924926,-1.7652890427352277,600.0
alkyl.bch,medium,smearsumrel,both,complete,240,0.8313390000000002,-1.7636897567222585,-1.7654552119341924,600.0
alkyl.bch,medium,smearsum,both,complete,214,0.7336260000000001,-1.763479817499011,-1.7652450625615723,600.0
alkyl.bch,medium,smearmax,both,complete,232,0.8168490000000003,-1.7634360476947046,-1.7652012489436482,600.0
alkyl.bch,medium,smearmaxrel,both,complete,282,1.0791800000000003,-1.7644166663751397,-1.7661828492243639,600.0
alkyl.bch,medium,largestfirst,both,complete,968,2.564661000000001,-1.7634548179098806,-1.7652200379478282,600.0
alkyl.bch,medium,roundrobin,both,complete,152,0.5480520000000001,-1.763744374392271,-1.7655098842765473,600.0
alkylbis.bch,medium,lsmear,both,complete,60,0.2672040000000001,-1.7649955093152219,-1.7667622715868085,600.0
alkylbis.bch,medium,lsmear-box,both,complete,52,0.24105800000000002,-1.7649929152334476,-1.7650027276170661,600.0
alkylbis.bch,medium,smearsumrel,both,complete,268,0.9254460000000002,-1.7640014783802336,-1.7657672456258593,600.0
alkylbis.bch,medium,smearsum,both,complete,280,0.9980590000000004,-1.7646857439424366,-1.766452196138575,600.0
alkylbis.bch,medium,smearmax,both,complete,220,0.8230720000000002,-1.7649927691943041,-1.766759528723027,600.0
alkylbis.bch,medium,smearmaxrel,both,complete,248,0.8809020000000002,-1.7650000448769472,-1.7667668116886357,600.0
alkylbis.bch,medium,largestfirst,both,complete,1182,3.078180000000001,-1.7649809908871497,-1.7667477386257753,600.0
alkylbis.bch,medium,roundrobin,both,complete,148,0.5426950000000001,-1.7636115765754194,-1.7653769535289483,600.0
avgasa.bch,coconutbenchmark-library2,lsmear,both,complete,262,0.7670940000000003,-4.410429342459319,-4.414844186645964,600.0
avgasa.bch,coconutbenchmark-library2,lsmear-box,both,complete,262,0.7637010000000003,-4.410429342459319,-4.414844186645964,600.0
avgasa.bch,coconutbenchmark-library2,smearsumrel,both,complete,392,1.0855520000000005,-4.41074617679645,-4.415161338134584,600.0
avgasa.bch,coconutbenchmark-library2,smearsum,both,complete,306,0.9685940000000003,-4.410367561850667,-4.414782344194861,600.0
avgasa.bch,coconutbenchmark-library2,smearmax,both,complete,328,1.0076400000000003,-4.410012775605447,-4.414427202808254,600.0
avgasa.bch,coconutbenchmark-library2,smearmaxrel,both,timeout,302820,600.0010480000001,-4.410821396395684,-4.461714161396478,600.0
avgasa.bch,coconutbenchmark-library2,largestfirst,both,timeout,431672,600.0001080000001,-4.409670095662158,-6.2475762310809575,600.0
avgasa.bch,coconutbenchmark-library2,roundrobin,both,complete,402,1.1971460000000005,-4.410544437851744,-4.4149593972489924,600.0
avgasb.bch,coconutbenchmark-library2,lsmear,both,complete,84,0.3217780000000001,-4.48027589986936,-4.484760660529889,600.0
avgasb.bch,coconutbenchmark-library2,lsmear-box,both,complete,84,0.31784600000000013,-4.48027589986936,-4.484760660529889,600.0
avgasb.bch,coconutbenchmark-library2,smearsumrel,both,complete,78,0.3216540000000001,-4.479856641399293,-4.484340982381673,600.0
avgasb.bch,coconutbenchmark-library2,smearsum,both,complete,72,0.27628700000000006,-4.482170208739869,-4.4866568656054735,600.0
avgasb.bch,coconutbenchmark-library2,smearmax,both,complete,44,0.20672600000000008,-4.480922420083516,-4.485407827911427,600.0
avgasb.bch,coconutbenchmark-library2,smearmaxrel,both,complete,124,0.4530210000000001,-4.482417834186937,-4.486904738925862,600.0
avgasb.bch,coconutbenchmark-library2,largestfirst,both,timeout,403660,600.0024650000003,-4.480209042403721,-5.625198185123666,600.0
avgasb.bch,coconutbenchmark-library2,roundrobin,both,complete,78,0.28165500000000004,-4.479229430820908,-4.483713143964872,600.0
avion2.bch,coconutbenchmark-library2,lsmear,both,timeout,97006,600.0068810000001,213664116.49302188,94552248.23987706,600.0
avion2.bch,coconutbenchmark-library2,lsmear-box,both,timeout,109900,600.0009990000002,238313524.65259072,94552248.23987706,600.0
avion2.bch,coconutbenchmark-library2,smearsumrel,both,timeout,107582,600.0088410000002,222679344.1876471,94552248.23987706,600.0
avion2.bch,coconutbenchmark-library2,smearsum,both,complete,79580,469.6620750000001,94771399.31030908,94676722.58772138,600.0
avion2.bch,coconutbenchmark-library2,smearmax,both,timeout,97606,600.0057670000001,264045399.96931988,94552248.23987706,600.0
avion2.bch,coconutbenchmark-library2,smearmaxrel,both,timeout,114894,600.0128230000003,264045399.96931988,94552248.23987706,600.0
avion2.bch,coconutbenchmark-library2,largestfirst,both,timeout,124298,600.0044020000001,95015125.30488169,94552248.23987706,600.0
avion2.bch,coconutbenchmark-library2,roundrobin,both,complete,834,6.755643000000003,94725184.51838344,94630553.96441904,600.0
batch.bch,coconutbenchmark-library2,lsmear,both,complete,184,5.4925830000000015,259364.60831559502,259105.50281278227,600.0
batch.bch,coconutbenchmark-library2,lsmear-box,both,complete,182,4.890435000000002,259314.06922342253,259055.01420921335,600.0
batch.bch,coconutbenchmark-library2,smearsumrel,both,complete,410,10.198086000000002,259267.75311357266,259008.7443692035,600.0
batch.bch,coconutbenchmark-library2,smearsum,both,complete,264,9.045165000000004,259300.08125831236,259041.0402180943,600.0
batch.bch,coconutbenchmark-library2,smearmax,both,complete,320,11.453661000000004,259375.6595389998,259116.54299600382,600.0
batch.bch,coconutbenchmark-library2,smearmaxrel,both,complete,536,14.772328000000002,259401.5950265087,259142.4525739348,600.0
batch.bch,coconutbenchmark-library2,largestfirst,both,timeout,36710,600.0035130000002,302079.90932775935,143919.06423663645,600.0
batch.bch,coconutbenchmark-library2,roundrobin,both,complete,692,25.204862000000006,259399.99761127072,259140.85675451622,600.0
bearing.bch,medium,lsmear,both,complete,2744,17.032939000000002,1.951070227311431,1.9510659818878682,600.0
bearing.bch,medium,lsmear-box,both,complete,1994,14.010441000000005,1.9510736738024217,1.9510659657178497,600.0
bearing.bch,medium,smearsumrel,both,complete,11190,43.97779000000002,1.9510992514078334,1.9510659800459829,600.0
bearing.bch,medium,smearsum,both,timeout,1064058,600.0004250000002,2.657628559289661,1.9510659858208916,600.0
bearing.bch,medium,smearmax,both,timeout,1377106,600.0004810000001,2.3186034610660746,1.9510659865839204,600.0
bearing.bch,medium,smearmaxrel,both,complete,32318,110.36757400000002,1.9513299156687771,1.9493805351336437,600.0
bearing.bch,medium,largestfirst,both,complete,5956,24.18421100000001,1.9515616179195014,1.949612005913588,600.0
bearing.bch,medium,roundrobin,both,complete,10822,40.43123400000002,1.951066012210175,1.9510659865754396,600.0
brownal.bch,coconutbenchmark-library2,lsmear,both,timeout,14433950,600.0000760000001,3.4060331638127953e+21,0,600.0
brownal.bch,coconutbenchmark-library2,lsmear-box,both,timeout,14078796,600.0000680000003,3.4060331638127953e+21,0,600.0
brownal.bch,coconutbenchmark-library2,smearsumrel,both,timeout,14403058,600.0000590000002,3.4060331638127953e+21,0,600.0
brownal.bch,coconutbenchmark-library2,smearsum,both,timeout,14026488,600.0000970000002,3.4060331638127953e+21,0,600.0
brownal.bch,coconutbenchmark-library2,smearmax,both,timeout,14323202,600.0000780000003,3.4060331638127953e+21,0,600.0
brownal.bch,coconutbenchmark-library2,smearmaxrel,both,timeout,14472290,600.0000470000002,3.4060331638127953e+21,0,600.0
brownal.bch,coconutbenchmark-library2,largestfirst,both,timeout,16837002,600.0000800000001,3.4060331638127953e+21,0,600.0
brownal.bch,coconutbenchmark-library2,roundrobin,both,timeout,17114266,600.0000700000002,5.957294764441748,0,600.0
catena.bch,coconutbenchmark-library2,lsmear,both,timeout,80046,600.0115480000002,-21632.667827427154,-26687.628390512844,600.0
catena.bch,coconutbenchmark-library2,lsmear-box,both,timeout,80526,600.0106140000003,-21632.667827427154,-26687.437456274976,600.0
catena.bch,coconutbenchmark-library2,smearsumrel,both,timeout,79640,600.0140220000002,-21593.68576546903,-26683.30266497437,600.0
catena.bch,coconutbenchmark-library2,smearsum,both,timeout,58170,600.0145610000003,-6015.41738847034,-24401.668742792055,600.0
catena.bch,coconutbenchmark-library2,smearmax,both,timeout,59890,600.0056390000001,-6015.41738847034,-24092.5689757406,600.0
catena.bch,coconutbenchmark-library2,smearmaxrel,both,timeout,111668,600.0080180000001,-13367.68991228937,-26977.50013488753,600.0
catena.bch,coconutbenchmark-library2,largestfirst,both,timeout,202834,600.0060660000001,-10375.67123027457,-26977.50013488753,600.0
catena.bch,coconutbenchmark-library2,roundrobin,both,timeout,66560,600.0186420000001,-16706.909523034028,-26294.665107138004,600.0
chakra-1.bch,unsolved,lsmear,both,timeout,16850,600.0579140000002,inf,-188.45306271315414,600.0
chakra-1.bch,unsolved,lsmear-box,both,timeout,17872,600.0084600000002,-177.56878658272163,-186.53385107805886,600.0
chakra-1.bch,unsolved,smearsumrel,both,timeout,27504,600.0346620000003,-178.67903342172602,-184.71649150677294,600.0
chakra-1.bch,unsolved,smearsum,both,timeout,19576,600.0114080000002,-178.1427825424625,-185.7849834409718,600.0
chakra-1.bch,unsolved,smearmax,both,timeout,16458,600.0140850000001,-177.6380872545322,-186.41556130049923,600.0
chakra-1.bch,unsolved,smearmaxrel,both,timeout,25478,600.0060620000004,-176.92903981494686,-193.87900196514326,600.0
chakra-1.bch,unsolved,largestfirst,both,timeout,31762,600.0175660000002,-167.5080038118093,-192.8557338866089,600.0
chakra-1.bch,unsolved,roundrobin,both,timeout,23978,600.0202710000001,-177.18393245270553,-185.01728044122538,600.0
chakra.bch,unsolved,lsmear,both,timeout,16596,600.0150980000002,inf,-188.46832988155526,600.0
chakra.bch,unsolved,lsmear-box,both,timeout,14162,600.050645,-175.4573115608346,-187.71510915328116,600.0
chakra.bch,unsolved,smearsumrel,both,timeout,26930,600.0308320000001,-178.5479992816918,-185.1038491920079,600.0
chakra.bch,unsolved,smearsum,both,timeout,18788,600.0776200000001,-178.17229050857654,-185.98850817246955,600.0
chakra.bch,unsolved,smearmax,both,timeout,17414,600.0217930000003,-177.29213498473726,-186.42628188897226,600.0
chakra.bch,unsolved,smearmaxrel,both,timeout,25540,600.0360240000002,-175.7560753188578,-194.8235809235254,600.0
chakra.bch,unsolved,largestfirst,both,timeout,32874,600.0075770000002,-168.1714296079523,-193.73809349144724,600.0
chakra.bch,unsolved,roundrobin,both,timeout,25746,600.0502040000003,-176.45790290288312,-184.8034535800662,600.0
chance.bch,easy,lsmear,both,complete,6,0.006159000000000001,29.921503736758343,29.891612124633713,600.0
chance.bch,easy,lsmear-box,both,complete,8,0.009423,29.91544929890906,29.88556373517389,600.0
chance.bch,easy,smearsumrel,both,complete,6,0.009141000000000002,29.908787559758952,29.878908651107846,600.0
chance.bch,easy,smearsum,both,complete,8,0.011541000000000003,29.910682942986686,29.880802140845844,600.0
chance.bch,easy,smearmax,both,complete,10,0.013561000000000004,29.906147959318098,29.884236459017597,600.0
chance.bch,easy,smearmaxrel,both,complete,8,0.011483000000000002,29.910682942986686,29.880802140845844,600.0
chance.bch,easy,largestfirst,both,complete,6,0.009685000000000001,29.91368173665451,29.883797938715798,600.0
chance.bch,easy,roundrobin,both,complete,6,0.008774,29.905804721619837,29.875928792827015,600.0
chem-1.bch,hard,lsmear,both,complete,29952,102.21518900000002,-47.702675549812675,-47.75042597578846,600.0
chem-1.bch,hard,lsmear-box,both,complete,30160,103.07719900000004,-47.701715314290205,-47.74946477906927,600.0
chem-1.bch,hard,smearsumrel,both,complete,126116,361.6707710000002,-47.70535874648783,-47.75311185834617,600.0
chem-1.bch,hard,smearsum,both,complete,55896,176.83123700000004,-47.703734742795966,-47.751486229024984,600.0
chem-1.bch,hard,smearmax,both,complete,49476,156.15915000000007,-47.703780328068454,-47.75153185992838,600.0
chem-1.bch,hard,smearmaxrel,both,timeout,278234,600.0054690000002,-47.58296269664692,-52.877756715386674,600.0
chem-1.bch,hard,largestfirst,both,timeout,354314,600.0010500000002,-47.4496334578538,-85.72558872952466,600.0
chem-1.bch,hard,roundrobin,both,timeout,219968,600.0039380000001,-47.70554191208346,-47.90765437813256,600.0
chem.bch,hard,lsmear,both,complete,29952,101.80080600000004,-47.702675549812675,-47.75042597578846,600.0
chem.bch,hard,lsmear-box,both,complete,30160,103.38378100000003,-47.701715314290205,-47.74946477906927,600.0
chem.bch,hard,smearsumrel,both,complete,126116,357.8240180000002,-47.70535874648783,-47.75311185834617,600.0
chem.bch,hard,smearsum,both,complete,55896,173.72970600000008,-47.703734742795966,-47.751486229024984,600.0
chem.bch,hard,smearmax,both,complete,49476,155.76606200000003,-47.703780328068454,-47.75153185992838,600.0
chem.bch,hard,smearmaxrel,both,timeout,277954,600.0074880000002,-47.58296269664692,-52.877756715386674,600.0
chem.bch,hard,largestfirst,both,timeout,351012,600.0002520000002,-47.4496334578538,-85.72558872952466,600.0
chem.bch,hard,roundrobin,both,timeout,218904,600.0013600000002,-47.70554191208346,-47.90969904402124,600.0
chembis.bch,hard,lsmear,both,complete,16074,51.423220000000015,-47.70120688072462,-47.74895583656117,600.0
chembis.bch,hard,lsmear-box,both,complete,15932,50.65383100000001,-47.70117180291376,-47.74892072363739,600.0
chembis.bch,hard,smearsumrel,both,complete,82388,233.79848000000004,-47.70514301676557,-47.75289591267824,600.0
chembis.bch,hard,smearsum,both,complete,34262,101.45240300000005,-47.70516534248453,-47.75291826074527,600.0
chembis.bch,hard,smearmax,both,complete,31954,94.77008100000003,-47.70516881320673,-47.752921734941665,600.0
chembis.bch,hard,smearmaxrel,both,timeout,269888,600.0023440000002,-47.7047546835213,-47.922930087680946,600.0
chembis.bch,hard,largestfirst,both,timeout,346030,600.0028370000001,-47.552032245476205,-73.7575536158732,600.0
chembis.bch,hard,roundrobin,both,complete,185600,504.9044950000001,-47.70565868039393,-47.753412092486414,600.0
chenery-1.bch,unsolved,lsmear,both,timeout,23216,600.0267480000001,inf,-1279.5019779035547,600.0
chenery-1.bch,unsolved,lsmear-box,both,timeout,26798,600.0276470000001,inf,-1254.5229422752757,600.0
chenery-1.bch,unsolved,smearsumrel,both,timeout,25020,600.0834020000001,inf,-1541.2777258782585,600.0
chenery-1.bch,unsolved,smearsum,both,complete,14702,472.02261600000014,-1244.8639529516038,-1246.1100630146182,600.0
chenery-1.bch,unsolved,smearmax,both,complete,23010,441.0250060000001,-1244.049421580085,-1245.2947162963812,600.0
chenery-1.bch,unsolved,smearmaxrel,both,timeout,19754,600.0054440000001,inf,-1434.4549414574055,600.0
chenery-1.bch,unsolved,largestfirst,both,timeout,39018,600.0236600000002,-356.06836510851895,-2025.8252458503443,600.0
chenery-1.bch,unsolved,roundrobin,both,timeout,18528,600.0614840000003,-1173.145009370098,-1445.3416731022676,600.0
chenery.bch,unsolved,lsmear,both,timeout,111910,600.0038750000002,inf,-1159.2189235342498,600.0
chenery.bch,unsolved,lsmear-box,both,timeout,41814,600.0123960000001,inf,-1135.626782310199,600.0
chenery.bch,unsolved,smearsumrel,both,timeout,22984,600.0016730000002,inf,-1302.7745753587697,600.0
chenery.bch,unsolved,smearsum,both,complete,10678,140.00860500000005,-1058.0492184938103,-1059.1083268206307,600.0
chenery.bch,unsolved,smearmax,both,complete,21066,244.81476900000004,-1058.1652999172081,-1059.2245244416495,600.0
chenery.bch,unsolved,smearmaxrel,both,timeout,20464,600.0278970000003,inf,-1128.34402250615,600.0
chenery.bch,unsolved,largestfirst,both,timeout,43034,600.0220910000003,inf,-1473.6884934189768,600.0
chenery.bch,unsolved,roundrobin,both,timeout,18360,600.0038700000002,-1009.9278800401676,-1116.3604755303083,600.0
concon.bch,coconutbenchmark-library2,lsmear,both,timeout,3053560,600.0001630000003,inf,-42003638.92,600.0
concon.bch,coconutbenchmark-library2,lsmear-box,both,timeout,3022490,600.0002500000002,inf,-42003638.92000001,600.0
concon.bch,coconutbenchmark-library2,smearsumrel,both,timeout,3527050,600.0009520000003,inf,-42003638.92000001,600.0
concon.bch,coconutbenchmark-library2,smearsum,both,timeout,3467722,600.0001390000003,inf,-42003638.91999931,600.0
concon.bch,coconutbenchmark-library2,smearmax,both,timeout,3331112,600.0007440000003,inf,-42003638.91999113,600.0
concon.bch,coconutbenchmark-library2,smearmaxrel,both,timeout,4482386,600.0009900000002,inf,-42003638.92000001,600.0
concon.bch,coconutbenchmark-library2,largestfirst,both,timeout,4306192,600.0000130000002,inf,-42003638.91947439,600.0
concon.bch,coconutbenchmark-library2,roundrobin,both,error:IbexError,0,0.0,inf,-inf,600.0
cresc4.bch,coconutbenchmark-library2,lsmear,both,timeout,400552,600.0011500000002,15400404.97265625,-1.483632916401483e+17,600.0
cresc4.bch,coconutbenchmark-library2,lsmear-box,both,timeout,430788,600.0027960000001,16856972.83203125,-1.483632916401483e+17,600.0
cresc4.bch,coconutbenchmark-library2,smearsumrel,both,timeout,468770,600.0014970000001,15399979.994140625,-1.483632916401483e+17,600.0
cresc4.bch,coconutbenchmark-library2,smearsum,both,timeout,456606,600.0022990000002,29050951.291015625,-1.4836313524876544e+17,600.0
cresc4.bch,coconutbenchmark-library2,smearmax,both,timeout,484318,600.0012030000001,5191470.9453125,-1.483632916401483e+17,600.0
cresc4.bch,coconutbenchmark-library2,smearmaxrel,both,timeout,457276,600.0008550000002,5196693.658203125,-1.483632916401483e+17,600.0
cresc4.bch,coconutbenchmark-library2,largestfirst,both,timeout,462778,600.0028160000002,5758137.4677734375,-1.4836331768193613e+17,600.0
cresc4.bch,coconutbenchmark-library2,roundrobin,both,timeout,359326,600.0018210000002,65936.88235473633,-2.9960743824672915e+26,600.0
