instance,set,rule,relax,status,nodes,time,loup,uplo,timeout
ex8_4_5bis.bch,others,lsmear-guard,xtaylor,complete,870048,209.25205900000006,0.0003074889907786009,0.0003071818089696313,600.0
ex8_4_6.bch,blowup,lsmear-guard,xtaylor,timeout,403902,600.0026710000003,0.0014483613672756053,0,600.0
ex8_4_6bis.bch,blowup,lsmear-guard,xtaylor,timeout,440416,600.0010980000001,0.001637896550309135,0.0009423893260489847,600.0
ex8_4_6ter.bch,blowup,lsmear-guard,xtaylor,timeout,96224,600.0084710000002,0.0011629913271379317,0.00044178690489927753,600.0
ex8_4_8.bch,unsolved,lsmear-guard,xtaylor,timeout,43788,600.0059150000002,13.435043879197963,0.0007428192139754905,600.0
ex8_4inf-1.bch,easy,lsmear-guard,xtaylor,unbounded,2312,0.05121500000000002,-1.7976931348623157e+308,-inf,600.0
ex8_5_1-1.bch,blowup,lsmear-guard,xtaylor,complete,10238,9.001174000000002,-4.6590220759146206e-07,-5.65902207591462e-07,600.0
ex8_5_1.bch,medium,lsmear-guard,xtaylor,complete,17650,11.884326000000003,-4.7070383715763775e-07,-5.707038371576376e-07,600.0
ex8_5_1bis.bch,hard,lsmear-guard,xtaylor,complete,7274,8.051831000000004,-5.094743679989744e-07,-6.094743679989743e-07,600.0
ex8_5_2.bch,medium,lsmear-guard,xtaylor,complete,81770,64.27767400000002,-2.431423861137816e-07,-3.431423861137815e-07,600.0
ex8_5_2_1.bch,medium,lsmear-guard,xtaylor,complete,80080,65.03580800000002,-2.421204414737588e-07,-3.421204414737587e-07,600.0
ex8_5_3-1.bch,easy,lsmear-guard,xtaylor,complete,176,0.17571100000000003,-0.004134780313470032,-0.004138919232702734,600.0
ex8_5_3.bch,easy,lsmear-guard,xtaylor,complete,242,0.22269600000000003,-0.004135511034802364,-0.0041396506854878504,600.0
ex8_5_4.bch,easy,lsmear-guard,xtaylor,complete,304,0.3168950000000001,-0.00042515554251187915,-0.0004255811236355146,600.0
ex8_5_5-1.bch,easy,lsmear-guard,xtaylor,complete,36,0.042646,-1.3468350813293442,-1.3481832645939378,600.0
ex8_5_5.bch,easy,lsmear-guard,xtaylor,complete,348,0.3652330000000001,-0.01075286302218681,-0.010763626648835643,600.0
ex8_5_6-1.bch,easy,lsmear-guard,xtaylor,unbounded,956,0.2893480000000001,1.3361942362886254,-inf,600.0
ex8_5_6.bch,medium,lsmear-guard,xtaylor,complete,4500,4.893923000000002,-0.0011674231720517625,-0.001168591763815578,600.0
ex9_1_1.bch,easy,lsmear-guard,xtaylor,complete,6,0.016279000000000002,-13.000000022499998,-13.00000002500001,600.0
ex9_1_10.bch,easy,lsmear-guard,xtaylor,complete,2,0.0021349999999999997,-3.2500000046249995,-3.2500000062500005,600.0
ex9_1_2.bch,easy,lsmear-guard,xtaylor,complete,4,0.0037830000000000008,-16.000000014999994,-16.000000103333356,600.0
ex9_1_4.bch,easy,lsmear-guard,xtaylor,complete,2,0.0012209999999999999,-37.00000001016156,-37.000000035625064,600.0
ex9_1_5.bch,easy,lsmear-guard,xtaylor,complete,20,0.021410000000000002,-0.9999999718106597,-1.000000010000002,600.0
ex9_1_8.bch,easy,lsmear-guard,xtaylor,complete,2,0.0021410000000000005,-3.2500000046249995,-3.2500000062500005,600.0
ex9_2_1.bch,easy,lsmear-guard,xtaylor,complete,2,0.0002920000000000006,16.999999974800012,16.983016957842175,600.0
ex9_2_2.bch,easy,lsmear-guard,xtaylor,complete,2,0.0002310000000000003,99.9999999184629,99.90009981864428,600.0
ex9_2_3.bch,easy,lsmear-guard,xtaylor,complete,6,0.014383,-5.6483848709376616e-08,-1.5648384870937659e-07,600.0
ex9_2_4.bch,easy,lsmear-guard,xtaylor,complete,4,0.0028780000000000012,0.5000001679216066,0.4995006672543523,600.0
ex9_2_5.bch,easy,lsmear-guard,xtaylor,complete,6,0.005712000000000001,4.9999999797485035,4.995004974773731,600.0
ex9_2_6.bch,easy,lsmear-guard,xtaylor,complete,18,0.024367000000000014,-1.0000000179504611,-1.0010010189694303,600.0
ex9_2_7.bch,easy,lsmear-guard,xtaylor,complete,2,0.00034900000000000035,16.999999974800012,16.983016957842175,600.0
ex9_2_8.bch,easy,lsmear-guard,xtaylor,complete,4,0.001902,1.4999999912259345,1.4999999893888205,600.0
exbaron.bch,easy,lsmear-guard,xtaylor,complete,2,0.0003619999999999999,3.0000011597967258,2.999475800018506,600.0
exinfinity2.bch,easy,lsmear-guard,xtaylor,complete,16,0.0021610000000000006,0,0,600.0
exinfinity3.bch,easy,lsmear-guard,xtaylor,complete,4,0.0008380000000000002,0,0,600.0
exp40.bch,easy,lsmear-guard,xtaylor,complete,0,1.0000000000001327e-06,5e-324,-9.999999999999997e-08,600.0
f1.bch,easy,lsmear-guard,xtaylor,complete,6,0.0009960000000000004,0,0,600.0
